,t,x,y,z,regime,prob
0,0.0,0.0,1.0,1.05,0.0,0.0
1,0.01,0.1,0.99,1.0742050920851511,0.0,0.0
2,0.02,0.189,1.006683169175925,1.0374082140070713,0.0,0.0003713538273509378
3,0.03,0.2707683169175925,1.0469027346258113,1.0021477826400322,0.0,0.0006997832352133319
4,0.04,0.34838175868841437,1.1043303325726561,0.9269871909719037,0.0,0.0009303372226638011
5,0.05,0.42397661607683856,1.1892924330282901,0.9190337717747867,0.0,0.001044334347650573
6,0.06,0.5005081977719837,1.2931109934611453,0.9051923918581618,0.0,0.0010128481288469951
7,0.07,0.5797684773408999,1.4138564209472881,0.8772111836684979,0.0,0.0008746919355978648
8,0.08,0.6631772717015387,1.5574211156632702,0.8641009504190297,0.0,0.0006752250234090873
9,0.09,0.7526016560977119,1.7224913428518012,0.8541399025841395,0.0,0.0004538809151088344
10,0.1,0.8495906247731209,1.9098683977756292,0.8453928945028211,0.0,0.00026167350233744033
11,0.11,0.9556184020733717,2.1554712521805155,0.9457991564134981,0.0,0.00012595730648531144
12,0.12,1.0756036870840862,2.38521873475386,0.9209872238191709,0.0,4.2135589677546866e-05
13,0.13,1.2065651918510636,2.6404913564276877,0.8919832393759004,0.0,1.2685710778500923e-05
14,0.14,1.349957808308726,2.933037991088405,0.8820951852328099,0.0,2.8241784624264544e-06
15,0.15,1.508265826586694,3.265737533617475,0.8901625384063686,0.0,4.1259979873958855e-07
16,0.16,1.6840129972897722,3.62677759634274,0.8888163732098713,0.0,3.573614679921156e-08
17,0.17,1.878289457195069,4.053361163994952,0.9361573173658958,0.0,1.8052416094419033e-09
18,0.18,2.0957966278750573,4.491155695428216,0.9447135813662102,0.0,3.624433929935292e-11
19,0.19,2.335332534630373,5.029141074440615,1.0338428984210788,0.0,3.8358582424307743e-13
20,0.2,2.604713388611397,5.629879134041149,1.1480197283933158,0.0,8.352177103042238e-16
21,0.21,2.9072299631543723,6.270994027490925,1.2619929090038993,0.0,3.8460226152382432e-19
